Людина,Заголовок,Дата,Джерело,Посилання
KSЕ Агроцентр,❌ Нічого не знайдено,,,
Олег Нів’євський,Олег Нів’євський,"Feb 16, 2019",Kyiv School of Economics,https://kse.ua/ua/people/oleg-nivievskyi/
Олег Нів’євський,"Дешева нафта — вирок для біопалива, - думка","Apr 11, 2025",Форум «ДЕНЬ АГРОНОМА»,https://agrotimes.ua/agromarket/desheva-nafta-vyrok-dlya-biopalyva-dumka/
Олег Нів’євський,Олег Нів'євський: Купівля-продаж тільки державних земель сільгосппризначення на першому етапі запровадження ринку не вирішить жодних проблем,"Jun 27, 2019",Agravery.com,https://agravery.com/uk/posts/show/oleg-nivevskij-kupivla-prodaz-tilki-derzavnih-zemel-silgosppriznacenna-na-persomu-etapi-zaprovadzenna-rinku-ne-virisit-zodnih-problem
Олег Нів’євський,Ринок землі в Україні: скільки коштує гектар,"Jun 11, 2025",UKR.NET,https://www.ukr.net/news/details/economics/105012117.html
Олег Нів’євський,Блокування морських портів призвело до мільярдних втрат серед аграріїв: озвучені цифри,"Mar 23, 2023",AgroPolit.com,https://agropolit.com/news/25233-blokuvannya-morskih-portiv-prizvelo-do-milyardnih-vtrat-sered-agrariyiv-ozvucheni-tsifri
Олег Нів’євський,Невідшкодування ПДВ експортерам сої або Про економічні наслідки «Соєвих правок»,"Oct 29, 2019",VoxUkraine,https://voxukraine.org/nevidshkoduvannya-pdv-eksporteram-soyi-abo-pro-ekonomichni-naslidki-soyevih-pravok
Олег Нів’євський,Зернова угода зробила свою справу. Що далі?,"Jul 26, 2023",Forbes.ua,https://forbes.ua/money/vikhid-rosii-z-zernovoi-ugodi-ne-kritichniy-kritichniy-dunay-agroekspert-oleg-nivevskiy-rozvinchav-odin-z-putinskikh-mifiv-shchodo-ugodi-ta-rozpoviv-chomu-vona-bula-nevigidnoyu-dlya-silgospvirobnikiv--26072023-15050
Олег Нів’євський,Заборона експорту лісу-кругляка та мито на експорт насіння соняшнику,"Dec 19, 2016",AgroPortal.ua,https://agroportal.ua/blogs/zapret-eksporta-lesakruglyaka-i-poshlina-na-eksport-semyan-podsolnechnika
Олег Нів’євський,Верховна Рада схвалила ріпаково-соєві правки - ZAXID.NET,"Jul 16, 2025",Zaxid.net,https://zaxid.net/verhovna_rada_uhvalila_zakon_pro_skandalni_ripakovo_soyevi_pravki_n1614880
Олег Нів’євський,"Форвардний контракт: інструмент, що дарує фермеру спокій","Nov 24, 2017",Куркуль,https://kurkul.com/blog/480-forvardniy-kontrakt-instrument-scho-daruye-fermeru-spokiy
Олег Нів’євський,Українські порти втрачатимуть до $170 млн щоденно через морські навчання РФ,"Feb 11, 2022",Agravery.com,https://agravery.com/uk/posts/show/ukrainski-porti-vtracatimut-do-170-mln-sodenno-cerez-morski-navcanna-rf
Марія Богонос,Марія Богонос,"Jan 25, 2022",Kyiv School of Economics,https://kse.ua/ua/people/mariya-bogonos/
Марія Богонос,Серія дискусій KSE Агроцентру. Дискусія 5: Післявоєнна відбудова та приєднання до ЄС: визначення завдань для науковців та дослідників на наступне десятиліття,"Dec 21, 2023",Kyiv School of Economics,https://kse.ua/ua/about-the-school/news/seriya-diskusiy-kse-agrotsentru-diskusiya-5-pislyavoyenna-vidbudova-ta-priyednannya-do-yes-viznachennya-zavdan-dlya-naukovtsiv-ta-doslidnikiv-na-nastupne-desyatilittya/
Марія Богонос,Вітаємо Марію Анатоліївну Богонос!,"Feb 23, 2019",Волинь-нова,https://www.volyn.com.ua/news/122058-vitaiemo-mariiu-anatoliivnu-bohonos
Марія Богонос,"Forbes склав список «15 українських лідерок у науці», серед яких є представниця ІТ-галузі","Feb 13, 2024",dev.ua,https://dev.ua/news/forbes-sklav-spysok-15-ukrainskykh-liderok-u-nautsi-sered-iakykh-ie-predstavnytsi-it-haluzi-1707827519
Марія Богонос,15 найкращих науковиць України. Forbes склав список,"Feb 13, 2024",Forbes.ua,https://forbes.ua/lifestyle/15-liderok-v-ukrainskiy-nautsi-spisok-forbes-13022024-19132
Марія Богонос,"""35 днів оборони Торецька"": в Одесі презентували документальний фільм",1 month ago,Vgorode.ua,https://od.vgorode.ua/ukr/news/sobytyia/a1280984-35-dniv-oboroni-toretska-v-odesi-prezentuvali-dokumentalnij-film
Марія Богонос,Серія дискусій KSE Агроцентру Дискусія 2: Партнерство країн Африки та України: взаємовигідна співпраця з Північною Африкою,"Dec 1, 2023",Kyiv School of Economics,https://kse.ua/ua/about-the-school/news/seriya-diskusiy-kse-agrotsentru-diskusiya-2-partnerstvo-krayin-afriki-ta-ukrayini-vzayemovigidna-spivpratsya-z-pivnichnoyu-afrikoyu/
Марія Богонос,Партнерство країн Африки та України в сільському господарстві: розкриття потенціалу співпраці з країнами Західної Африки,"Jun 27, 2024",Kyiv School of Economics,https://kse.ua/ua/about-the-school/news/partnerstvo-krayin-afriki-ta-ukrayini-v-silskomu-gospodarstvi-rozkrittya-potentsialu-spivpratsi-z-krayinami-zahidnoyi-afriki/
Павло Мартишев,Мировой рынок пшеницы: курс на повышение,"Sep 7, 2017",Latifundist.com,https://latifundist.com/blog/read/1804-mirovoj-rynok-pshenitsy-kurs-na-povyshenie
Валентин Літвінов,Почесний президент KSE Тимофій Милованов зустрівся з підтримуваним студентом Валентином Літвіновим,"Mar 1, 2019",Kyiv School of Economics,https://kse.ua/ua/community/stories/pochesniy-prezident-kse-timofiy-milovanov-zustrivsya-z-pidtrimuvanim-studentom-valentinom-litvinovim/
Валентин Літвінов,Як війна вплинула на ринок макаронів в Україні. Дослідження KSE Агроцентру,"Dec 23, 2023",UKR.NET,https://www.ukr.net/news/details/economics/101733128.html
Валентин Літвінов,Намастиш на хліб — скільки коштує масло у Калуші?,"Oct 17, 2022",Інформатор Калуш,https://kalush.informator.ua/2022/10/17/namastysh-na-hlib-skilky-koshtuye-maslo-u-kalushi/
Валентин Літвінов,В Україні зросли ціни на масло: чого чекати далі (відео),"Aug 10, 2022",УНІАН,https://www.unian.ua/economics/agro/v-ukrajini-zrosli-cini-na-maslo-chogo-chekati-dali-video-novini-11936058.html
